Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Albania,2002,female,25-34 years,7,223685,3.13,0.683,4435078648,1573,Generation X
Albania,2002,female,75+ years,1,47407,2.11,0.683,4435078648,1573,Silent
Albania,2002,female,55-74 years,4,191712,2.09,0.683,4435078648,1573,Silent
Albania,2002,female,5-14 years,1,304850,0.33,0.683,4435078648,1573,Millenials
Albania,2002,male,5-14 years,1,319473,0.31,0.683,4435078648,1573,Millenials
Albania,2003,female,75+ years,6,49088,12.22,0.683,5746945913,2021,Silent
Albania,2003,male,55-74 years,16,201520,7.94,0.683,5746945913,2021,Silent
Albania,2003,male,35-54 years,28,386196,7.25,0.683,5746945913,2021,Boomers
Albania,2003,male,15-24 years,15,273235,5.49,0.683,5746945913,2021,Millenials
Albania,2003,female,15-24 years,14,283709,4.93,0.683,5746945913,2021,Millenials
Albania,2003,female,55-74 years,9,195699,4.6,0.683,5746945913,2021,Silent
Albania,2003,male,25-34 years,9,205433,4.38,0.683,5746945913,2021,Generation X
Albania,2003,female,25-34 years,9,222941,4.04,0.683,5746945913,2021,Generation X
Albania,2003,female,35-54 years,13,381760,3.41,0.683,5746945913,2021,Boomers
Albania,2003,male,75+ years,1,32667,3.06,0.683,5746945913,2021,Silent
Albania,2003,male,5-14 years,4,313204,1.28,0.683,5746945913,2021,Millenials
Albania,2003,female,5-14 years,0,298477,0,0.683,5746945913,2021,Millenials
Albania,2004,male,75+ years,4,35526,11.26,0.683,7314865176,2544,Silent
Albania,2004,male,35-54 years,39,391767,9.95,0.683,7314865176,2544,Boomers
Albania,2004,male,25-34 years,16,203938,7.85,0.683,7314865176,2544,Generation X
Albania,2004,female,15-24 years,20,292268,6.84,0.683,7314865176,2544,Millenials
Albania,2004,male,15-24 years,19,286768,6.63,0.683,7314865176,2544,Millenials
Albania,2004,female,75+ years,3,50970,5.89,0.683,7314865176,2544,Silent
Albania,2004,female,25-34 years,11,222389,4.95,0.683,7314865176,2544,Generation X
Albania,2004,male,55-74 years,10,207202,4.83,0.683,7314865176,2544,Silent
Albania,2004,female,35-54 years,17,391436,4.34,0.683,7314865176,2544,Boomers
Albania,2004,female,55-74 years,3,203841,1.47,0.683,7314865176,2544,Silent
Albania,2004,female,5-14 years,3,286705,1.05,0.683,7314865176,2544,Millenials
Albania,2004,male,5-14 years,1,302181,0.33,0.683,7314865176,2544,Millenials
Albania,2005,female,15-24 years,0,281922,0,0.695,8158548717,2931,Millenials
Albania,2005,female,25-34 years,0,190745,0,0.695,8158548717,2931,Generation X
Albania,2005,female,35-54 years,0,386513,0,0.695,8158548717,2931,Boomers
Albania,2005,female,5-14 years,0,276559,0,0.695,8158548717,2931,Millenials
Albania,2005,female,55-74 years,0,210998,0,0.695,8158548717,2931,Silent
Albania,2005,female,75+ years,0,53191,0,0.695,8158548717,2931,Silent
Albania,2005,male,15-24 years,0,281675,0,0.695,8158548717,2931,Millenials
Albania,2005,male,25-34 years,0,177519,0,0.695,8158548717,2931,Generation X
Albania,2005,male,35-54 years,0,380242,0,0.695,8158548717,2931,Boomers
